,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,Origin
0,18,8,307,130,3504,12,70,1
1,15,8,350,165,3693,11.5,70,1
2,18,8,318,150,3436,11,70,1
3,16,8,304,150,3433,12,70,1
4,17,8,302,140,3449,10.5,70,1
5,15,8,429,198,4341,10,70,1
6,14,8,454,220,4354,9,70,1
7,14,8,440,215,4312,8.5,70,1
8,14,8,455,225,4425,10,70,1
9,15,8,390,190,3850,8.5,70,1
10,15,8,383,170,3563,10,70,1
11,14,8,340,160,3609,8,70,1
12,15,8,400,150,3761,9.5,70,1
13,14,8,455,225,3086,10,70,1
14,24,4,113,95,2372,15,70,3
15,22,6,198,95,2833,15.5,70,1
16,18,6,199,97,2774,15.5,70,1
17,21,6,200,85,2587,16,70,1
18,27,4,97,88,2130,14.5,70,3
19,26,4,97,46,1835,20.5,70,2
20,25,4,110,87,2672,17.5,70,2
21,24,4,107,90,2430,14.5,70,2
22,25,4,104,95,2375,17.5,70,2
23,26,4,121,113,2234,12.5,70,2
24,21,6,199,90,2648,15,70,1
25,10,8,360,215,4615,14,70,1
26,10,8,307,200,4376,15,70,1
27,11,8,318,210,4382,13.5,70,1
28,9,8,304,193,4732,18.5,70,1
29,27,4,97,88,2130,14.5,71,3
30,28,4,140,90,2264,15.5,71,1
31,25,4,113,95,2228,14,71,3
32,25,4,98,,2046,19,71,1
33,19,6,232,100,2634,13,71,1
34,16,6,225,105,3439,15.5,71,1
35,17,6,250,100,3329,15.5,71,1
36,19,6,250,88,3302,15.5,71,1
37,18,6,232,100,3288,15.5,71,1
38,14,8,350,165,4209,12,71,1
39,14,8,400,175,4464,11.5,71,1
40,14,8,351,153,4154,13.5,71,1
41,14,8,318,150,4096,13,71,1
42,12,8,383,180,4955,11.5,71,1
43,13,8,400,170,4746,12,71,1
44,13,8,400,175,5140,12,71,1
45,18,6,258,110,2962,13.5,71,1
46,22,4,140,72,2408,19,71,1
47,19,6,250,100,3282,15,71,1
48,18,6,250,88,3139,14.5,71,1
49,23,4,122,86,2220,14,71,1
50,28,4,116,90,2123,14,71,2
51,30,4,79,70,2074,19.5,71,2
52,30,4,88,76,2065,14.5,71,2
53,31,4,71,65,1773,19,71,3
54,35,4,72,69,1613,18,71,3
55,27,4,97,60,1834,19,71,2
56,26,4,91,70,1955,20.5,71,1
57,24,4,113,95,2278,15.5,72,3
58,25,4,97.5,80,2126,17,72,1
59,23,4,97,54,2254,23.5,72,2
60,20,4,140,90,2408,19.5,72,1
61,21,4,122,86,2226,16.5,72,1
62,13,8,350,165,4274,12,72,1
63,14,8,400,175,4385,12,72,1
64,15,8,318,150,4135,13.5,72,1
65,14,8,351,153,4129,13,72,1
66,17,8,304,150,3672,11.5,72,1
67,11,8,429,208,4633,11,72,1
68,13,8,350,155,4502,13.5,72,1
69,12,8,350,160,4456,13.5,72,1
70,13,8,400,190,4422,12.5,72,1
71,19,3,70,97,2330,13.5,72,3
72,15,8,304,150,3892,12.5,72,1
73,13,8,307,130,4098,14,72,1
74,13,8,302,140,4294,16,72,1
75,14,8,318,150,4077,14,72,1
76,18,4,121,112,2933,14.5,72,2
77,22,4,121,76,2511,18,72,2
78,21,4,120,87,2979,19.5,72,2
79,26,4,96,69,2189,18,72,2
80,22,4,122,86,2395,16,72,1
81,28,4,97,92,2288,17,72,3
82,23,4,120,97,2506,14.5,72,3
83,28,4,98,80,2164,15,72,1
84,27,4,97,88,2100,16.5,72,3
85,13,8,350,175,4100,13,73,1
86,14,8,304,150,3672,11.5,73,1
87,13,8,350,145,3988,13,73,1
88,14,8,302,137,4042,14.5,73,1
89,15,8,318,150,3777,12.5,73,1
90,12,8,429,198,4952,11.5,73,1
91,13,8,400,150,4464,12,73,1
92,13,8,351,158,4363,13,73,1
93,14,8,318,150,4237,14.5,73,1
94,13,8,440,215,4735,11,73,1
95,12,8,455,225,4951,11,73,1
96,13,8,360,175,3821,11,73,1
97,18,6,225,105,3121,16.5,73,1
98,16,6,250,100,3278,18,73,1
99,18,6,232,100,2945,16,73,1
100,18,6,250,88,3021,16.5,73,1
101,23,6,198,95,2904,16,73,1
102,26,4,97,46,1950,21,73,2
103,11,8,400,150,4997,14,73,1
104,12,8,400,167,4906,12.5,73,1
105,13,8,360,170,4654,13,73,1
106,12,8,350,180,4499,12.5,73,1
107,18,6,232,100,2789,15,73,1
108,20,4,97,88,2279,19,73,3
109,21,4,140,72,2401,19.5,73,1
110,22,4,108,94,2379,16.5,73,3
111,18,3,70,90,2124,13.5,73,3
112,19,4,122,85,2310,18.5,73,1
113,21,6,155,107,2472,14,73,1
114,26,4,98,90,2265,15.5,73,2
115,15,8,350,145,4082,13,73,1
116,16,8,400,230,4278,9.5,73,1
117,29,4,68,49,1867,19.5,73,2
118,24,4,116,75,2158,15.5,73,2
119,20,4,114,91,2582,14,73,2
120,19,4,121,112,2868,15.5,73,2
121,15,8,318,150,3399,11,73,1
122,24,4,121,110,2660,14,73,2
123,20,6,156,122,2807,13.5,73,3
124,11,8,350,180,3664,11,73,1
125,20,6,198,95,3102,16.5,74,1
126,21,6,200,,2875,17,74,1
127,19,6,232,100,2901,16,74,1
128,15,6,250,100,3336,17,74,1
129,31,4,79,67,1950,19,74,3
130,26,4,122,80,2451,16.5,74,1
131,32,4,71,65,1836,21,74,3
132,25,4,140,75,2542,17,74,1
133,16,6,250,100,3781,17,74,1
134,16,6,258,110,3632,18,74,1
135,18,6,225,105,3613,16.5,74,1
136,16,8,302,140,4141,14,74,1
137,13,8,350,150,4699,14.5,74,1
138,14,8,318,150,4457,13.5,74,1
139,14,8,302,140,4638,16,74,1
140,14,8,304,150,4257,15.5,74,1
141,29,4,98,83,2219,16.5,74,2
142,26,4,79,67,1963,15.5,74,2
143,26,4,97,78,2300,14.5,74,2
144,31,4,76,52,1649,16.5,74,3
145,32,4,83,61,2003,19,74,3
146,28,4,90,75,2125,14.5,74,1
147,24,4,90,75,2108,15.5,74,2
148,26,4,116,75,2246,14,74,2
149,24,4,120,97,2489,15,74,3
150,26,4,108,93,2391,15.5,74,3
151,31,4,79,67,2000,16,74,2
152,19,6,225,95,3264,16,75,1
153,18,6,250,105,3459,16,75,1
154,15,6,250,72,3432,21,75,1
155,15,6,250,72,3158,19.5,75,1
156,16,8,400,170,4668,11.5,75,1
157,15,8,350,145,4440,14,75,1
158,16,8,318,150,4498,14.5,75,1
159,14,8,351,148,4657,13.5,75,1
160,17,6,231,110,3907,21,75,1
161,16,6,250,105,3897,18.5,75,1
162,15,6,258,110,3730,19,75,1
163,18,6,225,95,3785,19,75,1
164,21,6,231,110,3039,15,75,1
165,20,8,262,110,3221,13.5,75,1
166,13,8,302,129,3169,12,75,1
167,29,4,97,75,2171,16,75,3
168,23,4,140,83,2639,17,75,1
169,20,6,232,100,2914,16,75,1
170,23,4,140,78,2592,18.5,75,1
171,24,4,134,96,2702,13.5,75,3
172,25,4,90,71,2223,16.5,75,2
173,24,4,119,97,2545,17,75,3
174,18,6,171,97,2984,14.5,75,1
175,29,4,90,70,1937,14,75,2
176,19,6,232,90,3211,17,75,1
177,23,4,115,95,2694,15,75,2
178,23,4,120,88,2957,17,75,2
179,22,4,121,98,2945,14.5,75,2
180,25,4,121,115,2671,13.5,75,2
181,33,4,91,53,1795,17.5,75,3
182,28,4,107,86,2464,15.5,76,2
183,25,4,116,81,2220,16.9,76,2
184,25,4,140,92,2572,14.9,76,1
185,26,4,98,79,2255,17.7,76,1
186,27,4,101,83,2202,15.3,76,2
187,17.5,8,305,140,4215,13,76,1
188,16,8,318,150,4190,13,76,1
189,15.5,8,304,120,3962,13.9,76,1
190,14.5,8,351,152,4215,12.8,76,1
191,22,6,225,100,3233,15.4,76,1
192,22,6,250,105,3353,14.5,76,1
193,24,6,200,81,3012,17.6,76,1
194,22.5,6,232,90,3085,17.6,76,1
195,29,4,85,52,2035,22.2,76,1
196,24.5,4,98,60,2164,22.1,76,1
197,29,4,90,70,1937,14.2,76,2
198,33,4,91,53,1795,17.4,76,3
199,20,6,225,100,3651,17.7,76,1
200,18,6,250,78,3574,21,76,1
201,18.5,6,250,110,3645,16.2,76,1
202,17.5,6,258,95,3193,17.8,76,1
203,29.5,4,97,71,1825,12.2,76,2
204,32,4,85,70,1990,17,76,3
205,28,4,97,75,2155,16.4,76,3
206,26.5,4,140,72,2565,13.6,76,1
207,20,4,130,102,3150,15.7,76,2
208,13,8,318,150,3940,13.2,76,1
209,19,4,120,88,3270,21.9,76,2
210,19,6,156,108,2930,15.5,76,3
211,16.5,6,168,120,3820,16.7,76,2
212,16.5,8,350,180,4380,12.1,76,1
213,13,8,350,145,4055,12,76,1
214,13,8,302,130,3870,15,76,1
215,13,8,318,150,3755,14,76,1
216,31.5,4,98,68,2045,18.5,77,3
217,30,4,111,80,2155,14.8,77,1
218,36,4,79,58,1825,18.6,77,2
219,25.5,4,122,96,2300,15.5,77,1
220,33.5,4,85,70,1945,16.8,77,3
221,17.5,8,305,145,3880,12.5,77,1
222,17,8,260,110,4060,19,77,1
223,15.5,8,318,145,4140,13.7,77,1
224,15,8,302,130,4295,14.9,77,1
225,17.5,6,250,110,3520,16.4,77,1
226,20.5,6,231,105,3425,16.9,77,1
227,19,6,225,100,3630,17.7,77,1
228,18.5,6,250,98,3525,19,77,1
229,16,8,400,180,4220,11.1,77,1
230,15.5,8,350,170,4165,11.4,77,1
231,15.5,8,400,190,4325,12.2,77,1
232,16,8,351,149,4335,14.5,77,1
233,29,4,97,78,1940,14.5,77,2
234,24.5,4,151,88,2740,16,77,1
235,26,4,97,75,2265,18.2,77,3
236,25.5,4,140,89,2755,15.8,77,1
237,30.5,4,98,63,2051,17,77,1
238,33.5,4,98,83,2075,15.9,77,1
239,30,4,97,67,1985,16.4,77,3
240,30.5,4,97,78,2190,14.1,77,2
241,22,6,146,97,2815,14.5,77,3
242,21.5,4,121,110,2600,12.8,77,2
243,21.5,3,80,110,2720,13.5,77,3
244,43.1,4,90,48,1985,21.5,78,2
245,36.1,4,98,66,1800,14.4,78,1
246,32.8,4,78,52,1985,19.4,78,3
247,39.4,4,85,70,2070,18.6,78,3
248,36.1,4,91,60,1800,16.4,78,3
249,19.9,8,260,110,3365,15.5,78,1
250,19.4,8,318,140,3735,13.2,78,1
251,20.2,8,302,139,3570,12.8,78,1
252,19.2,6,231,105,3535,19.2,78,1
253,20.5,6,200,95,3155,18.2,78,1
254,20.2,6,200,85,2965,15.8,78,1
255,25.1,4,140,88,2720,15.4,78,1
256,20.5,6,225,100,3430,17.2,78,1
257,19.4,6,232,90,3210,17.2,78,1
258,20.6,6,231,105,3380,15.8,78,1
259,20.8,6,200,85,3070,16.7,78,1
260,18.6,6,225,110,3620,18.7,78,1
261,18.1,6,258,120,3410,15.1,78,1
262,19.2,8,305,145,3425,13.2,78,1
263,17.7,6,231,165,3445,13.4,78,1
264,18.1,8,302,139,3205,11.2,78,1
265,17.5,8,318,140,4080,13.7,78,1
266,30,4,98,68,2155,16.5,78,1
267,27.5,4,134,95,2560,14.2,78,3
268,27.2,4,119,97,2300,14.7,78,3
269,30.9,4,105,75,2230,14.5,78,1
270,21.1,4,134,95,2515,14.8,78,3
271,23.2,4,156,105,2745,16.7,78,1
272,23.8,4,151,85,2855,17.6,78,1
273,23.9,4,119,97,2405,14.9,78,3
274,20.3,5,131,103,2830,15.9,78,2
275,17,6,163,125,3140,13.6,78,2
276,21.6,4,121,115,2795,15.7,78,2
277,16.2,6,163,133,3410,15.8,78,2
278,31.5,4,89,71,1990,14.9,78,2
279,29.5,4,98,68,2135,16.6,78,3
280,21.5,6,231,115,3245,15.4,79,1
281,19.8,6,200,85,2990,18.2,79,1
282,22.3,4,140,88,2890,17.3,79,1
283,20.2,6,232,90,3265,18.2,79,1
284,20.6,6,225,110,3360,16.6,79,1
285,17,8,305,130,3840,15.4,79,1
286,17.6,8,302,129,3725,13.4,79,1
287,16.5,8,351,138,3955,13.2,79,1
288,18.2,8,318,135,3830,15.2,79,1
289,16.9,8,350,155,4360,14.9,79,1
290,15.5,8,351,142,4054,14.3,79,1
291,19.2,8,267,125,3605,15,79,1
292,18.5,8,360,150,3940,13,79,1
293,31.9,4,89,71,1925,14,79,2
294,34.1,4,86,65,1975,15.2,79,3
295,35.7,4,98,80,1915,14.4,79,1
296,27.4,4,121,80,2670,15,79,1
297,25.4,5,183,77,3530,20.1,79,2
298,23,8,350,125,3900,17.4,79,1
299,27.2,4,141,71,3190,24.8,79,2
300,23.9,8,260,90,3420,22.2,79,1
301,34.2,4,105,70,2200,13.2,79,1
302,34.5,4,105,70,2150,14.9,79,1
303,31.8,4,85,65,2020,19.2,79,3
304,37.3,4,91,69,2130,14.7,79,2
305,28.4,4,151,90,2670,16,79,1
306,28.8,6,173,115,2595,11.3,79,1
307,26.8,6,173,115,2700,12.9,79,1
308,33.5,4,151,90,2556,13.2,79,1
309,41.5,4,98,76,2144,14.7,80,2
310,38.1,4,89,60,1968,18.8,80,3
311,32.1,4,98,70,2120,15.5,80,1
312,37.2,4,86,65,2019,16.4,80,3
313,28,4,151,90,2678,16.5,80,1
314,26.4,4,140,88,2870,18.1,80,1
315,24.3,4,151,90,3003,20.1,80,1
316,19.1,6,225,90,3381,18.7,80,1
317,34.3,4,97,78,2188,15.8,80,2
318,29.8,4,134,90,2711,15.5,80,3
319,31.3,4,120,75,2542,17.5,80,3
320,37,4,119,92,2434,15,80,3
321,32.2,4,108,75,2265,15.2,80,3
322,46.6,4,86,65,2110,17.9,80,3
323,27.9,4,156,105,2800,14.4,80,1
324,40.8,4,85,65,2110,19.2,80,3
325,44.3,4,90,48,2085,21.7,80,2
326,43.4,4,90,48,2335,23.7,80,2
327,36.4,5,121,67,2950,19.9,80,2
328,30,4,146,67,3250,21.8,80,2
329,44.6,4,91,67,1850,13.8,80,3
330,40.9,4,85,,1835,17.3,80,2
331,33.8,4,97,67,2145,18,80,3
332,29.8,4,89,62,1845,15.3,80,2
333,32.7,6,168,132,2910,11.4,80,3
334,23.7,3,70,100,2420,12.5,80,3
335,35,4,122,88,2500,15.1,80,2
336,23.6,4,140,,2905,14.3,80,1
337,32.4,4,107,72,2290,17,80,3
338,27.2,4,135,84,2490,15.7,81,1
339,26.6,4,151,84,2635,16.4,81,1
340,25.8,4,156,92,2620,14.4,81,1
341,23.5,6,173,110,2725,12.6,81,1
342,30,4,135,84,2385,12.9,81,1
343,39.1,4,79,58,1755,16.9,81,3
344,39,4,86,64,1875,16.4,81,1
345,35.1,4,81,60,1760,16.1,81,3
346,32.3,4,97,67,2065,17.8,81,3
347,37,4,85,65,1975,19.4,81,3
348,37.7,4,89,62,2050,17.3,81,3
349,34.1,4,91,68,1985,16,81,3
350,34.7,4,105,63,2215,14.9,81,1
351,34.4,4,98,65,2045,16.2,81,1
352,29.9,4,98,65,2380,20.7,81,1
353,33,4,105,74,2190,14.2,81,2
354,34.5,4,100,,2320,15.8,81,2
355,33.7,4,107,75,2210,14.4,81,3
356,32.4,4,108,75,2350,16.8,81,3
357,32.9,4,119,100,2615,14.8,81,3
358,31.6,4,120,74,2635,18.3,81,3
359,28.1,4,141,80,3230,20.4,81,2
360,30.7,6,145,76,3160,19.6,81,2
361,25.4,6,168,116,2900,12.6,81,3
362,24.2,6,146,120,2930,13.8,81,3
363,22.4,6,231,110,3415,15.8,81,1
364,26.6,8,350,105,3725,19,81,1
365,20.2,6,200,88,3060,17.1,81,1
366,17.6,6,225,85,3465,16.6,81,1
367,28,4,112,88,2605,19.6,82,1
368,27,4,112,88,2640,18.6,82,1
369,34,4,112,88,2395,18,82,1
370,31,4,112,85,2575,16.2,82,1
371,29,4,135,84,2525,16,82,1
372,27,4,151,90,2735,18,82,1
373,24,4,140,92,2865,16.4,82,1
374,23,4,151,,3035,20.5,82,1
375,36,4,105,74,1980,15.3,82,2
376,37,4,91,68,2025,18.2,82,3
377,31,4,91,68,1970,17.6,82,3
378,38,4,105,63,2125,14.7,82,1
379,36,4,98,70,2125,17.3,82,1
380,36,4,120,88,2160,14.5,82,3
381,36,4,107,75,2205,14.5,82,3
382,34,4,108,70,2245,16.9,82,3
383,38,4,91,67,1965,15,82,3
384,32,4,91,67,1965,15.7,82,3
385,38,4,91,67,1995,16.2,82,3
386,25,6,181,110,2945,16.4,82,1
387,38,6,262,85,3015,17,82,1
388,26,4,156,92,2585,14.5,82,1
389,22,6,232,112,2835,14.7,82,1
390,32,4,144,96,2665,13.9,82,3
391,36,4,135,84,2370,13,82,1
392,27,4,151,90,2950,17.3,82,1
393,27,4,140,86,2790,15.6,82,1
394,44,4,97,52,2130,24.6,82,2
395,32,4,135,84,2295,11.6,82,1
396,28,4,120,79,2625,18.6,82,1
397,31,4,119,82,2720,19.4,82,1
